akz1	akz	akzizWa
paS1	paS	paS paSya paSyin paSyata paSyana spaS spaSa spASana paspaSA
pA1	pA	pa pA pAna pAnIya pAtavya pAtf pAtra pAnta pAyaka pAyin pAyya pAyana pAvan pitu pIti pITa peya piba papi pipAsA pipAsu pipIzu pAyayitavya
pA2	pA	pa pA pAna pAtavya pAtf pAtra pAyu pAyya pAla pAvan pati pitf pIti pITa pITya
pAy	pAy	pAyu
pi	pI	paya payas pyasa pit pitu pIyUza pIva pIvan pIvANs pIvara pIvas pIvizWa
pinv	pinv	pinva pinvana
pibd	pibd	pibdana
piS	piS	piS piSa piSanga piSAca piSAci piSuna peSa peSI peSana peSas peSitf
piz	piz	peza pezaka pezya pezI peSaRa pezwf pezwra pipizvant
pis	pis	pesuka
pIq	pIq	pIqa pIqA pIqaka pIqin pIqana pIqanIya pIqayitavya pIlana pipIla
pIy	pIy	piyAru pIyaka pIyatnu pIyu
puw	puw	puwa puwaka puwana powa powaka powana
puT	puT	poTa poTaka
puz	puz	puz puzya puzka puzpa puzwi puzwi pUza pUzan pUzaRa pUzarya poza pozaka pozin pozya pozaRa pozaRIya pozas pozuka pozwf pozitf pozayitnu pozaizRu
pU	pU	pU pu pvA pava pavA pavyA pavana pUti pUtrima potf potra pavItf pavitf pavitra pAva pAvaka pAvana puna pavayitf
pUj	pUj	pUjA pUjaka pUjya pUjana pUjanIya pUjayitf pUjayitvya
pUy	pUy	pUya pUti
pf1	pF	pur paraRa parus parvan puru parIRas parIman pareman purIza pUrti pUra pUraka pUrin pUrya pUraRa pUraRIya pfRa papri papuri pupuri puraya pUrayitf pUrayitavya
pf2	pf	paraRa partf parza parzin parzaRi parzizWa pAra pArin pAraRa pAraRIya peru papri pipru pAraya pArayitf pArayizRu
pf3	pf	pra pAra
pfc	pfc	pfc parka parcana pfkz pfkza prakza
pyA	pyE	pyAya pyAyin pyAyya pyAyana pyAyayitf
praC	praC	pfC prAC pfCA pfCaka pfCya prazwavya prazwf praSna praSnya pipfCizu papfkzeRya prAS pipfkzu
praT	praT	pfT pfTa pfTak pfTavAna pfTi pfTI pfTu pfTivI praTA praTana praTas praTu praTiman praTizWa praTIyas praTasnu praTayitf
prA	prA	prA pra prARa prAvan
prI	prI	prI priya prayas prIti pretf preRi preman preyas prezWa piprIzA piprIzu prIRana prIRayitf
pru	pru	prava pravaRa prut
pruT	pruT	proTa proTaTa
pruz	pruz	pruz prUz pruzvA pfzvA
plu	plu	plava plavaka plavin plavana plavitf pluti plAva plAvaka plAvin plAvya plAvana plAvayitf
pluz	pluz	pluzi ploza plozin plozaRa
psA	psA	psAnIya
PaR	PaR	PaRa PARwa Pena
Par	Par	ParvI Parvara PAriva parParIka
Pal1	Pal	Palaka Palin PAla Pulla
Pal2	Pal	Pala Palitavya
baMh	baMh	bahala bahu baNhizWa baNhIyas bAhu
banD	banD	banDa banDaka banDin banDya banDana banDanIya banDu banDuka badDavya bandDf bandDra baDira banDayitf
bAD	bAD	bAD bADa bADA bADaka bADin bADya bADana bADanIya bADas bADitavya bADitf bIBatsa bIBatsA bIBatsu bADayitf
buD	buD	buD buDa buDya buDan boDa boDaka boDin boDya boDana boDanIya boDi boDit budDi bodDavya boDitavya bodDf buButsA buButsu boDayitavya boDayitf boDayizRu buboDayizu biboDayizu
bfh1	bfh	bfh barha barhaRa barhaRA bfhant barhas barhizWa barhis brahman brahman bfNhin bfNhaRa bfNhaRIya bfNhayitavya
brU	brU	brava bruva
Bakz	Bakz	Bakza Bakzaka Bakzin Bakzya BakzaRa BakzaRIya Bakzitavya Bakzitf Bakzivan Bakzayitf Bakzayitavya biBakzayizA biBakzayizu
Baj	Baj	BAj Baga Bajin Bajya Bajana BajanIya Bajenya Bakti Bajitavya Baktf BAga BAgin BAgya BAgIyas BAja BAjaka BAjin BAjya BAjana BAjayu
BaYj	BaYj	BaNga BaNgin BaNgi BaYjaka BaYjana BaYjanu BaNktf BaNgura
BaR	BaR	BaRa BaRana BaRanIya BaRiti BARa BARaka biBaRizu
Band	Band	Bandana BandizWa Badra
Barts	Barts	Bartsana
Barv	Barv	Barva BArvara
Baz	Baz	Baza Bazaka BazaRa BAz
Bas	Bas	Bas Basa BastrA Basman psu baBasa
BA	BA	BA Ba BAna BAti BAnu BAma BAvan BAvarI BAs
BAm	BAm	BAma
BAz	BAz	BAz BAza BAzA BAzaka BAzin BAzya BAzaRa BAzaRIya BAzitavya BAzitf
BAs	BAs	BAs BAsa BAsaka BAsin BAsya BAsana BAsas BAsura BAsvara
Bikz	Bikz	BikzA Bikzin BikzaRa Bikzitavya Bikzu Bikzuka
Bid	Bid	Bid Bida BidA Bidya Beda Bedaka Bedin Bedya Bedana BedanIya Bindu Bidura Bitta Bitti Bettavya Bettf biBitsA biBitsu biBedayizu BidApana
Bizaj	Bizaj	Bizaj Bezaja
BI	BI	BI Baya Bayya Biyas BiyasAna BIti Betavya BIma Beya BIru BIla BIs BIzA BIzaka BIzaRa BIzma
Buj1	Buj	Buj Buja Boga Buji Bujman Bujyu
Buj2	Buj	Buj Boja Bojaka Bojin Bojya Boga Bogin Bogya Bojana BojanIya Bojas Buji Bogi Bogaya Bukti Boktavya Boktf Bujizya BujizWa buBukzA buBukzu Bojayitavyta Bojayitf
BU	BU	BU Bu Bva Buva Bava Bava Bavaka Bavin Bavya Bvan Bavana BavanIya Buvana Bavas Buvas BUti BUti BavItva Bavitavya Bavitf Bavitra BUman BUman BUmi BUmI BUyas BavIyas BUyizWa BavizWa BUri BUvarI BUzRu BavizRu BUya BAva BAvaka BAvin BAvya BAvana BAvanIya BAvuka buBUzA buBUzaka buBuzitavya buBUzu BAvayitavya BAvayitf BAvayu
BUz	BUz	BUzA BUzya BUzaRa BUzeRya BUzitavya BUzayitavya
Bf	Bf	Bra Bara Bala BaraRa BaraRIya Baras Bari Baru Barata Bartavya Bartf BrAtf Baritra BarRas Barman BarIman BArman Bariza BrURa BAra BArin BArya Bft Bfti Bfti Bftya Bftya BftyA Bftenya Bftra Bftvan BfTa baBra baBri jarBari bamBAri buBUrzA buBUrzu
Bfjj	Brajj	barjjana Bfjjana Brazwra BrAzwra
Byas	Byas	Byasa
BraMS	BraMS	BraNSa BraNSin BraNSana BraNSaTu BraNSuka BrASya
Bram	Bram	Bfma Bfmi Bfmi BfNga Brama Bramin BramaRa BramaRIya Brami BrAMti BrAma BrAmaka BrAmin BrAmaRa
BrAj	BrAj	BrAj Braj Barga BrAja BrAjaka BrAjin BrAjana BrAjas Brajas Bargas BrAji BfAjis Bfgu BrAzwi Bfzwi BrAjizWa BrAjizRu
Brez	Brez	Breza
maMh	maMh	maGa maNhanA maNhanIya maNhIyas maNhizWa makzu maNkzu maNhayu maKa majman mah maha maha mahA mahya mahan mahana mahanIya mahant mahas mahas mahi mahin mahiman mahman mahis mahiza mahizWa mahIyas mahayya mahAyya mahayAyya
majj	majj	majjan majjana majjUka maNktavya madgu majra mimaNkzu majjayitf
maYc	maYc	maYca maYcana
maRq	maRq	maRqa maRqana maRqitf
maT	maT	maT maTa maTya maTya maTan maTana maTi maTi maTitf maTna maTra mATa mATin manTa manTA manTaka manTya manTana manTanI manTItavya manTitf manTu manTAna manmaTa
mad	mad	mad mAd mada madin madya madana maditavya madira madra madvan madvara madizWa madizRu matsara matsya maderu mAda mAdaka mAdin mAdya mAdana mAduka medin madAmada madayitf mAdayitf mAdayitnu mAdayizRu manda mandin mandana mandi mandAra mandu mandra mandizWa mandasAna mandayu mandayitf
man	man	mana manA manas manIzA manu manu manus manana mananA mati mantu mantavya manotf mantf mantra manman manyu mAti mAna mAnaka mAnin mAnya mAnana mAnanIya mAnuka muni manya manyaka mImANsA mImANsaka mImANsya mimAnayizu mAnayitf mAnayitavya mananIya
mA1	mA	mA mAna mAna miti mAtavya mAtf mAtf mAtrA mAyA mAyu mAs mas meya mitsA mApaka mApya mApana
mA2	mA	maya mAtavya
mA3	mA	mAyu mayu mayUra
mArg	mArg	mArga mArgin mArgaRa mArgitavya
mikz	mikz	mizra miSla mikzA mekzaRa mimikzu
miT	miT	miTati miTas miTu miTuna miTus miTyA meTaka meTana
mil	mil	milana mela melaka melana melApaka melApana
miz	miz	miz miza meza mezaRa memiza
mih	mih	mih mihya meGa meha mehin mehanA mehana mehanIya mehatnu meQra meRQra mIQa mIQvANs
mI	mI	mI maya mIya mayu mAyu mAyuka mIti mAtavya mApana mApayitf
mIl	mIl	mIla mIlaka mIlin mIlana
mIv	mIv	mu mUra mavizRu mota
muc	muc	muc mucI muca moka mokI mokya moca mocaka mocin mocya mocana mocanIya muci mucu mukti moktavya moktf mucyu mukzA mokza mokzaka mokzin mokzya mokzaRa mokzaRIya mumucu mumukzA mumukzu mocayitf mocayitavya mumocayizu mokzayitavya mokzayitf mumokzayizu
muw	muw	mowaka mowin mowana
mud	mud	mud muda mudA moda modaka modin modana modanIya mudra mudira mudvin
muz	muz	muz mUs mUza muzaka mUzaka muzi muzIvan muzwi moza mozaka mozin mozya mozaRa
muh	muh	muh muhu muhus muDA moGa moha mohaka mohin mohana mohuka momuGa mohayitf
mUrC	murC	mUra mUrti mUrKa mUrCA mUrCana
mf1	mf	mara maraka maraRa maru mura marAyu marta martya mfti martavya mftyu marman mAra mAraka mArin mAraRa mAruka mamri murmura mumUrzA mumUrzu mimArayizu
mf2	mfR	mur mura muri marItf mfRa malimlu
mfkz	mrakz	mfkza mfkzin mrakza mrakzaRa
mfc	mfc	mfc marka marka mfcaya
mfj	mfj	mfja mfjA marjya mArga mArjaka mArjana mArjanIya mArguka mArjAra mArjAlya mfzwi mArzwi mArzwavya mfgra mfgvan marmfjenya
mfq	mfq	mfqa mfqana mfqIka marqitf mfqitf mfqaya mfqayAku mfdya
mfd	mfd	mfd mfda marda mardaka mardin mardana mardanIya mradas mfttikA marditavya marditf mradIyas mfdu mftsnA mimardizu mimardayizu
mfD	mfD	mfD mfDa mfDas marDuka mfDra
mfS	mfS	mfSa mfSya marSa marSaka marSin maSana marImfSa
mfz	mfz	mfzA mfzya marza marzin marzaRa marzaRIya marzi
med	mid	medana medin medya medas medura
mnA	mnA	mnAna mnAtavya mnAya
mrit	mrit	mretuka
mruc	mluc	mruc mroka mloca mrocana mlocana mloci mrukti mlukti malimluca malimluc
mreq	mreq	mreqa
mlA	mlE	mlAni mlAyin mlApana mlApin
mleC	mleC	mleCa
yakz	yakz	yakza yakzin yakzya yakzu yakzma yakzman
yaj	yaj	ij yaj yAj yaja yajA yajin yajya yajyA ijya ijyA yajana yajas yaji yajus yajata izwi yajati yazwavya yazwf yajatra yajaTa yajYa yajyu yajIyas yajizWa yajvan yajvin yajizRu yAga yAja yAjaka yAjin yAjya yAjyA yAjana yAjanIya yAjuka yAyajUka yiyakzu yAjayitavya yAjayitf
yat	yat	yat yAt yatana yatanIya yati yatti yattavya yatitavya yatna yAtaka yAtya yAtana yAtanA yatuna yayAti
yaB	yaB	yaBya yABa
yam	yam	yama yama yamaka yamin yamya yamana yati yaMtu yaMtavya yaMtur yaMtf yaMtra yamunA yamIyas yamizWa yamasAna yAma yAmaka yAmin yAmana yaMsenya yaCana yazwi
yas	yas	yAs yAsa yAsaka yAsin yAsya yAsana yaska
yA	yA	yA yAna yu yAti yAtu yAtavya yAtf yAtra yAtrA yATa yAma yAman yAyin yAvan yezWa yayi yayI yayin yiyu yayu yAyAvara yiyAsA yiyAsu yApa yApaka yApya yApana
yAc	yAc	yAcaka yAcin yAcya yAcana yAcanA yAcanIya yAcitavya yAcitf yAcizRu yAcYA yAcYya
yAd	yAd	yAdas yAdura
yu1	yu	yu yava yavana yuvana yut yuti yUti yotra yUTa yUna yoni yuvan yavizWa yavIyas yos yozaRA yAva yAvana yAvayitf
yu2	yu	yava yavana yut yuti yotf yutvan yAvan yAvana yUyuvi
yuj	yuj	yuj yuja yujya yuga yugya yuNga yuYjaka yoga yogya yogyA yogin yojaka yojya yojana yojanIya yukti yoktavya yoktf yoktra yojitf yugma yugman yugvan yuyukzu yojayitavya yojayitf
yuD	yuD	yuD yuDa yuDi yuDya yuDenya yuDma yuDvan yoDa yoDaka yoDin yoDya yoDana yoDanIya yoDuka yoDIyas yodDavya yodDf yuyuDi yUyuDi yavIyuD yuyutsA yutsA yuyutsu
yup	yup	yUpa yopana yoyupana
rakz	rakz	rakza rakzA rakzaka rakzin rakzya rakzaRa rakzaRA rakzaRIya rakzas rakzas rakzi rakzitavya rakzitf rirakzA rirakzu rirakzizA rirakzizu
raMh	raMh	raNha raNhya raNhas raNGas rahas raNhi fhant raGu laGu raGIyas laGIyas laGizWa
rac	rac	racana racanA raYca raYcya raYci racayitf
raj2	raYj	raNga raYjaka raYjya rajaka raYjana raYjanIya rajana rajani rajanI rajanIya rajas raji rajata rakti rAga rAgin rajayitf
raw	raw	rawana rawi
rad	rad	rada radana
raD	raD	ranDana randDi ranDra raDra
ran1	raR	ran raRa raRya raRya ranti rantya raRitf raRva raRvan
ran2	raR	raRana
rap	rap	rAp rApin
rapS	rapS	rapSa rapSin
raB	raB	raBa raBya raBas raBasAna razBi raBin rabDi rabDavya rabDf raBizWa raBIyas raByas ramBa ramBaka ramBin ramBana ramBanIya ripsu
ram	ram	rama ramya ramaRa ramaRIya rati raMti ramati ramati raMtavya raMtf rAtrI rAma rAmin rAmaRa raMsu riraMsA riraMsu riramayizu
ramb	ramb	rambaRa
ras	ras	rasana rasitf
rah	rah	raha rahin rahaRa rahas rahasya rahasyu rahU
rA1	rA	rA rE rA rAya rayi rayizWa ratna rAkA rAti rAvan rarAvan raru
rA2	rE	rAvan
rAj	rAj	rAj rAja rAjan rAjan rAjana rAjin rAzwrI rAzwra
rAD	rAD	rADa rADin rADya rADana rADanIya rADas rADi rAdDi rAdDf rADayitf rADayizRu
rAs1	rAs	rAsa rAsaBa
ri	rI	raya rit rIti retas reRu
riK	riK	reKA
riNK	riNK	riNKaRa riNgin riNgi
ric	ric	reka rekin reca recaka recya recana recanIya riYca riYcya riYci reku rikti rikTa rekRas rikvan
rip	rip	rip repas ripu ripra
riP	riP	rePa
riB	riB	reBa
riS	riS	riSA
riz	riz	riz rez riza reza rezin rizaRa rezaRa rizwi rizIka rezman ririkzu
rih	rih	rehaRa reriha
ru1	ru	rava ravaRa ruvaRa ravas ravitf favaTa ruvaTa ruma rAva rAvin rAvaRa rAvan
ru2	ru	ravitf rAvin
ruc	ruc	ruc ruca rucA rucaka rucya roca rocaka rocin roka roka rokin rocana rocas ruci ruci roci rocis rocuka rukma rukmant rucira rukza rucizya rocizRu ruSa ruSant
ruj	ruj	ruj ruja rujA roga loga rujana rogaRa rujAnA rujatnu rurukzaRi
rud	rud	rud ruda roda rodana rudana rodas roditavya rudra roruda rurudizu rurudizA
ruD1	ruD	ruD roDa roDana
ruD2	ruD	ruD ruDa roDa roDaka roDin roDya roDana roDanA roDas roDuka rudDi rodDavya rodDf rurutsu
rup	rup	ropaRa ropi ropuzI
ruz	ruz	ruz roza rozaRa rozin
ruh	ruh	ruh ruha roha rohaka rohin rohya rohaRa rohaRIya rohas rohuka rUQi roQavya roQf rurukzu ropa ropaka ropin ropya ropaRa ropaRIya ropayitf
rUz	rUz	rUzaRa rUkza
lakz	lakz	lakza lakzaka lakzya lakzaRa lakzaRIya lakzman lakzmI lakzayitavya
lag	lag	lagana laganIya liNga
laNG	laNG	laNGaka laNGin laNGya laNGana laNGanIya
lajj	lajj	lajjA
lap	lap	lap lapya lapana lapanIya lapti lapitavya lApa lApaka lApin lApya lApana
laB	laB	laBa laBya lABa lABaka lABin laBana laBanIya labDi labDavya labDf lamBa lamBaka lamBin lamBya lamBana lamBanIya lamBuka lipsA lipsu lipsitavya lIpsitavya
lam	lam	lamaka
lamb	lamb	lamba lambaka lambin lambya lambana lambuka lambitavya
lal	lal	lalana lAla lAlaka lAlya lAlana lAlanIya lAlayitavya lAlin
laz	laz	lazya lazaRIya lAza lAzaka lAzin lAzuka
las	las	las lasa lasana lAsana lAsa lAsaka lAsin lAsya lAlasa
liK	liK	liKya liKana leKa leKA leKaka leKin leKya leKana leKanIya liKitf
lip	lip	lepa lepaka lepin lepya lepana lipi limpa limpi lipti
liS	liS	leSa lezwu
lih	lih	lih liha leha lehaka lehin lehya lehana leliha
lI1	lI	laya layana layu lIyana lAya lAyaka lAyya lAyana leya lApya lApana lApayitavya
luYc	luYc	luk luYca luYcaka luYcana
luW1	luW	loWana
luW2	luW	luRWA luRWaka luRWana luRWi
luq	luq	loqana loqayitf
lup	lup	lup lupya lopa lopaka lopin lopya lopana lupti loptf loptra lumpaka lumpana lolupa
luB	luB	loBa loBaka loBin loBya loBana loBanIya
lul	lul	lola lolana
lU	lU	lava lavya lavana lAva lAvaka lavitavya
lok	lok	loka lokaka lokin lokya lokana lokanIya lokayitf lokayitavya
loc	loc	loca locaka locya locana locanIya
vakz	vakz	vakzaRa vakzaRA vakzaRi vakzaTa vakzas
vac	vac	vAc vaca ucya vAka vAkin vAkya vAcaka vAcin vAcya vacana vacana vacanIya vAcana vAcanIya vacas vAcas vAku ukti vakti vaktva vaktavya vaktf vaktra ukTa ucaTa vagnu vakman vakmya vagvana vagvanu vivakzA vivakzu vAcayitf vAcayitavya
vaj	vaj	vAja vAjana ojas oja ojizWa ojIyas ojman ugra vajra
vaYc	vak	vaYcaka vaYcana vaYcanIya vaNku vaNkri vakra vakva vakvan vaYcayitf vaYcayitavya
vad	vad	vad vadya udya vAda vAdaka vAdin vAdya vadana vAdana vAdanIya vaditavya vAditavya vaditf vAditra vadizu vadizRu vadizWa vAduka vadman vadAvada vadAvadin vAdayitf vivAdizu
vaD	vaD	vaDa baDa vaDaka vaDya baDya vaDanA vaDatra vaDar vaDyA vaDra vaDri vaDasna vaDasnu
van	van	van vana vanin vanya vanad vanana vananA vananIya vanas vani vanu vanus vantf vanitf vanizWa vanIyas vAnya vAma vanIvan vAvAta vAvAtf vanayitf
vand	vand	vanda vandya vandin vandana vandanIya vandAru vanditavya vanditf vivandizu
vap1	vap	vapa vapA upya vApa vApaka vApin vApya vapana vapanIya vApana vApI upti vaptavya vaptf vapra vapizWa vApayitf
vap2	vap	vapana vApa vApana vaptf
vam	vam	vami vAmin vamana vAmanIya vamitavya vamaTu vamra
val	val	valana vali valaya
valg	valg	valgA valgin valgana valgu
valh	valh	valha valhaka
vaS	vaS	vaSa uSa uSanA uSanas uSenya vaSi uSI uSij vazwi vaSitf vaSIyas
vas1	vas	uz uzA Uza uzar usf uzas uzwi vastu vastf vasu vasizWa vasIyas vasyas usra usri vAsa vAsana vAsara vivasvan vivasvant
vas2	vas	vas vasa vasya vAsa vAsin vasana vAsana vAsas vasanta vasitavya vasitf vastf vastra vasman
vas3	vas	vas vasa uzaka uzya vAsa vAsaka vAsin vAsya vasana uzaRa vAsana vAsanIya vAsas vasu vasati vastu vastavya uzitavya vAstu vastf vasaTa vasman vAsayitavya vAsayitf
vah	vah	vah vAh vaha vahin vahya oGa OGa vAha vAhaka vAhin vAhya vahana vAhana vAhanIya vahat vAGat vAhas UQi vahatu voQavya vAhitavya voQf vAhitf vahitf vahitra vahizWa vAhizWa vahIyas vahni vahman vakzas vakzaRa vakzI vAvahi vIvaDa vAhayitf
vA1	vA	vA vAna vAta vAyu vAyya vApaka vApana vApayitf vApayitavya
vA2	ve	vAya vAyaka vayana vAna vayuna Uti otu vAtavya vayitf veRI vema veman
vAYC	vAYC	vAYCA
vAS	vAS	vaSA vASa vASaka vASin vASya vASana vASra
vic1	vic	veka vekin vekya vecaka vecana vikti vektavya vektf vivici
vij	vij	vij vega vejaka vejin vejana vigra vevija vijitavya
vid1	vid	vid vida veda vedaka vedin vedya vedyA vedana vedanIya vedi
vid2	vid	vid vidya veda vedaka vedin vedya vedana vedanIya vedas veduka vitti vettavya vettf vedizWa vedIyas vidAyya vinda vindu vindaka vivitsu
vinD	vinD	viDu viDava viDura
vip	vip	vip vipana vipas vepa vepin vepana vepas vepaTu vepizWa vipra
viS	viS	viS viSa veSa veSI veSaka veSin veSya viSana veSana veSanIya veSanta veSas vizwi vezwavya vezwf veSman vivikzu veSayitavya
viz	viz	viz viza viza veza vezaka vezin vezya vezaRa vezaRa vizaya vizwi vezwavya vezwf vizRu vivikzu
vizw	vezw	vezwa vezwaka vezwana vezwanIya vezwitf
vIj	vIj	vIjana vyajana
vIq	vIq	vIqu
vf1	vf	vAr vara varaka vala urA vra varaRa varaRa varaRIya uraRa varas uras uru ft vfti vartu vartf varItf varUtf vartra varatrA varUTa varRa varuRa UrRA varman variman varIman Urmi varIyas varivas varizWa ulba Urva vAra vAraka vArin vArya vAraRa vAraRIya UrRavana vavra vavri vArayizRu vivArayizu vArayitavya
vf2	vf	vara vara varaka varya varya vUrya varaRa varaRIya vareRya varas vfTA vfTak vAra vArya vAraRa varizWa varIyas varayitavya
vfj	vfj	vfj Urj varga vargya varja varjaka varjin varjya vraja vrAja vfjya vfjana vfjana vfjanI varjana varjanIya vfYjana vfjina vfkti varjayitavya varjayitf
vft	vft	vft vftA varta vartaka vartin vartya vrata vrata vartana vartanIya vartani vartas varti vartis vftti varttu varttavya vartitavya vartitf vratati vartman varIvfta vivftsu vartayitavya vartayitf
vfD	vfD	vfD vfDa varDa varDaka varDin varDana varDanIya vfDas vfDIka vfdDi varDitf varDman vardDra UrDva vfDasAna varDizRu vAvfDenya varDayitf vivarDayizu varDApana
vfz	vfz	vfz vfza varza varzin varzya varzaRa varzuka vfzwi varzwf varzitf vivarzizu vfzan vfzRi vfzaBa
vfh	bfh	vfha barha varha barhin varhin barhaRa varhaRa barhis
ven	ven	vena venya
vell	vell	vellana
vyac	vyac	vyacas vyacizWa vIci
vyaT	vyaT	vyaTA vyaTaka vyaTya vyaTana vyaTi vyaTi vyaTis vyATa viTura vyaTayitf vyaTin
vyaD	vyaD	viD viDya veDa veDaka veDin veDya vyaDa vyaDya vyADa vyADin vyADya veDana vyaDana vedDavya vedDf veDima vyaDvara
vyA	vye	vI vyAya vyAna vyayana
vraj	vraj	vrAj vrajya vrajyA vrAja vrAjaka vrAjin vrajana vrAjana vivrajizu
vrad	vrad	vrandin
vran	vraR	vraRa
vraSc	vraSc	vfka vfScika vraSca vraska vraskya vraScana vfkza
vrIq	vrIq	vrIqa vrIqA vrIqana
vlI	vlI	vlaya vlayana vrayas
Sak	Sak	Saka Sakya SAka SAka SAkI SacI SAci Sakti Sakti Sakman SAkman Sikman Sagma Sakra Sikva Sakvan Sikvan Sikvas SacizWa SikzA SIkzA Sikzaka Sikzin SikzaRa SikzaRIya SikzeRya Sikzu Sikzuka
SaNk	SaNk	SaNkA SaNkin SaNkya SaNkana SaNkanIya SaNkitavya
SaMs	SaMs	Sas SAs Sasa SasA Sasya SaNsa SaNsA SaNsaka SaNsin SaNsya SaNsana SaNsanIya SaNsu SaNsuka Sasti Sastenya SaNstavya Saatavya SaNsitf SaNstf Sastra SaNsaTa Sasman
Sad1	Sad	Satru
Sad2	Sad	Sada SAda SAdana
Sap	Sap	SApa Sapana Sapana Saptf SapaTa
Sam1	Sam	Sama Sami SamI Sima SimI Samitf SamizWa
Sam2	Sam	Sam Sama Samin SAmaka SAmya Samana SamanIya SaMti SAMti Samitf SamaTa Samayitavya Samayitf
Sam3	Sam	SAmana Samaya SAmayitavya
SaS	SaS	SaSa
Sas	Sas	Sas SAsa Sasana Sasitf Sastf Sastra SAstf SiSAsizu
SA	Si	SAna SARa Siti SiSaya
SAs1	SAs	SAs Siz SAsa SAsA SAsa SAsaka SAsin SAsya Sizya SAsana SAsanIya SAsus SAsti Sizwi SAsitf SAstf SAstra
SiYj	SiYj	SiYjin SiYjAra
Siz	Siz	Siza Seza Sezaka Sezin Sezya SezaRa Sezas
SI1	SI	SAyana
SI2	SI	SI Sa Saya SayA Sayin SayyA SAyaka SAyin Sayana SayanIya SAyana Sayu Sayitavya SayaTa SITa SIma Seyya SayAlu SIvan SiSayizu
Suc	Suc	Suc Suca Suka Soca Socin Socya Soka Soka Socana SocanIya Sokas Suci Soci Sucis Socis Sukti Socitavya Sukra Sukla Sukvan SocizWa SuSukvana SuSukvani SuSukzaRi SocayizRu
SuD	SuD	SoDa SoDaka SoDin SoDya SunDana SoDana SoDanIya SudDi SunDyu SoDayitavya
SuB	SuB	SuB SuBa SoBa SoBA SoBin SumBa SumBaka SoBana SoBana Sumbana SumBU SoBaTa SuBra SuBri SuBvan SoBizWa SoBayitf
Suz1	Suz	Suza Soza Sozaka Sozin Sozya SozaRa SozaRIya Sozuka Suzka SuzRa Sozayitf
SU	Svi	SU Sava SAva Svan Savas SavasAna SavizWa SoTa Suna SUna SUnya SUra SavIra Siva Seva Sevas SvAyin Svayana SvayaTa SvayaTu SvAtra SvAnta SiSu SiSvan SiSvi
Sf1	SF	Sir Sar Sara Sara Sala Salya SIrya SUla SaraRa SaraRi SUraRa SarIka SarIra SarAru SAri Saru Sarva SAruka SIrti Saluna SaraBa Salala SalalI SalAka SiSarizu
SfD	SfD	SarDa SarDin SarDya SfDyA SarDana SarDas SarDayitf
Scand	cand	candana Scandra candra
Scut	Scut	Scut Scotana
SnaT	SnaT	SnaTana SnaTitf SiSnaTa
SyA	SyE	SyA SyAya SiSira
SraT	SraT	SraTa SraTar SlaTa
Sran	SraR	SrARana SrARika
Sram	Sram	Srama SrAma SramaRa SramaRa SrAMti SramizWa SiSramizu
SramB	SramB	SfmBa SramBa Srambin SramBana SramBanIya SrabDi
SrA	SrA	SIra Saras Srapa SrApin SrapaRa Srapayitf
Sri	Sri	SrI Sraya Srayin SrAya SAra SAlA SrayaRa SrayaRIya SaraRa Srit Sriti Srayitavya Sretf SreRi Sarman Sarira
SrI1	SrI	Sir Sira SrI SrayaRa
Sru	Sru	SrU Srava Sravya SravAyya SrAva SrAvaka SrAvin SrAvya SravaRa SravaRIya SrAvaRa SrAvaRIya Sravas Sloka Srut Sruti Srutya Srotu Srotavya Srotf Srotra SrAvitf SruDi SruRa Sromata SravizWa SrOzaw SuSruka SuSrUs SuSrUzA SuSrUzaka SuSrUzin SuSrUzya SuSrUzaRa SuSrUzeRya SuSrUzu SuSrUzitf SuSrUzitavya SrAvayitf SrAvayitavya
SlAG	SlAG	SlAGA SlAGin SlAGya SlAGana SlAGanIya SlAGizWa
Sliz	Sliz	Sriz Sliz Sreza SreziRa Sleza Slezaka Slezin SlezaRa Srezman Slezman SiSlikzu
SvaYc	Svac	SvaNka
Svas	Svas	Svasa SvAsa SvAsin SvAsya Suza Soza Svasana SvasanIya SvAsana SvAsanIya Svasi Svasitavya SvasaTa Suzma Suzman
Svit	Svit	Svit Sveta SvetanA Sviti Svitna Svitra
saG	saG	saGan
sac	sac	sac sAc saca sacA sAcin sAcya sacana sacas saci sAci saKi sacaTa sakman sakmya sakra sakzaRi saScat sAcaya
saj	saYj	saj saja sajya saYja saNga saNgin saNgya saYjana saYjanIya sajjana sakti saktu saktavya saNktavya
sad	sad	sad sada sadya sadya sadyA sAda sAdaka sAdin sAdya sadana sAdana sAdanIya sadas sadi sAdi sedi sandI seduka satti sattf sattra sanni sadman sadman sadvan sadvara satsnu sAdayitavya sisAdayizu
san	san	san sana sina sanana sA sa sani sani sAnuka saniti sanitva seya sAti sanitf sanitra sanutf sanitvan satvan sAtu sAman saneru sanIyas sanizWa sAnasi sasni sizRu sizAsatu sizAsani sizAsu
sap	sap	sAp sapa sapin sapar sapti
sas	sas	sasa
sah	sah	sah sAh saha saha sahaka sahya sahya sAha sAha sAhin sAhya saBa siNha sahan sahana sahinIya sAhana sahantya sahas sahasAna sAhi sehu sAQi soQavya sahitavya sAQf soQf sahuri sahIyas sahyas sahizWa sahyu sahizRu sahvan sakza sakzin sakzaRa sakzaRi sAsahi
sA1	si	sA sAya sAyin seya sAna sAtf sya siti setu setavya setf sinva
